Report Type : StationReport;;
Date;Time;NO2
;;ppb
1/12/18;5:00 a. m.;20.5
1/12/18;6:00 a. m.;19.3
1/12/18;7:00 a. m.;22
1/12/18;8:00 a. m.;24.2
1/12/18;9:00 a. m.;26.9
1/12/18;10:00 a. m.;24.3
1/12/18;11:00 a. m.;24.2
1/12/18;12:00 p. m.;24.4
1/12/18;1:00 p. m.;28
1/12/18;2:00 p. m.;26
1/12/18;3:00 p. m.;24
1/12/18;4:00 p. m.;25.5
1/12/18;5:00 p. m.;26.3
1/12/18;6:00 p. m.;28.5
1/12/18;7:00 p. m.;27.3
1/12/18;8:00 p. m.;26.1
1/12/18;9:00 p. m.;25
1/12/18;10:00 p. m.;23.6
1/12/18;11:00 p. m.;25.7
1/12/18;24:00 AM;24.9
1/13/2018;1:00 a. m.;15.8
1/13/2018;2:00 a. m.;14.2
1/13/2018;3:00 a. m.;20.2
1/13/2018;4:00 a. m.;21.5
1/13/2018;5:00 a. m.;19
1/13/2018;6:00 a. m.;22.4
1/13/2018;7:00 a. m.;19.3
1/13/2018;8:00 a. m.;19.9
1/13/2018;9:00 a. m.;28.4
1/13/2018;10:00 a. m.;26
1/13/2018;11:00 a. m.;24
1/13/2018;12:00 p. m.;26.4
1/13/2018;1:00 p. m.;25.3
1/13/2018;2:00 p. m.;19.8
1/13/2018;3:00 p. m.;20.1
1/13/2018;4:00 p. m.;23.9
1/13/2018;5:00 p. m.;26.9
1/13/2018;6:00 p. m.;25.2
1/13/2018;7:00 p. m.;27.5
1/13/2018;8:00 p. m.;29.2
1/13/2018;9:00 p. m.;32.6
1/13/2018;10:00 p. m.;28.5
1/13/2018;11:00 p. m.;28.6
1/13/2018;24:00 AM;26.7
1/14/2018;1:00 a. m.;26.2
1/14/2018;2:00 a. m.;26.6
1/14/2018;3:00 a. m.;27.4
1/14/2018;4:00 a. m.;28
1/14/2018;5:00 a. m.;26.6
1/14/2018;6:00 a. m.;31.1
1/14/2018;7:00 a. m.;22.9
1/14/2018;8:00 a. m.;17.3
1/14/2018;9:00 a. m.;20.6
1/14/2018;10:00 a. m.;22.1
1/14/2018;11:00 a. m.;23.4
1/14/2018;12:00 p. m.;24.4
1/14/2018;1:00 p. m.;22.4
1/14/2018;2:00 p. m.;17.8
1/14/2018;3:00 p. m.;20.4
1/14/2018;4:00 p. m.;18.8
1/14/2018;5:00 p. m.;17.5
1/14/2018;6:00 p. m.;23
1/14/2018;7:00 p. m.;26.4
1/14/2018;8:00 p. m.;26.5
1/14/2018;9:00 p. m.;23
1/14/2018;10:00 p. m.;18.9
1/14/2018;11:00 p. m.;21.5
1/14/2018;24:00 AM;17.1
1/15/2018;1:00 a. m.;19.8
1/15/2018;2:00 a. m.;21.6
1/15/2018;3:00 a. m.;20
1/15/2018;4:00 a. m.;21.4
1/15/2018;5:00 a. m.;15.2
1/15/2018;6:00 a. m.;15.7
1/15/2018;7:00 a. m.;16.2
1/15/2018;8:00 a. m.;20.8
1/15/2018;9:00 a. m.;26.3
1/15/2018;10:00 a. m.;24.2
1/15/2018;11:00 a. m.;19.1
1/15/2018;12:00 p. m.;16.2
1/15/2018;1:00 p. m.;20.3
1/15/2018;2:00 p. m.;23.5
1/15/2018;3:00 p. m.;25.5
1/15/2018;4:00 p. m.;23.6
1/15/2018;5:00 p. m.;25.3
1/15/2018;6:00 p. m.;26.3
1/15/2018;7:00 p. m.;26.1
1/15/2018;8:00 p. m.;26.4
1/15/2018;9:00 p. m.;26.5
1/15/2018;10:00 p. m.;23.1
1/15/2018;11:00 p. m.;22.9
1/15/2018;24:00 AM;21.6
1/16/2018;1:00 a. m.;23.5
1/16/2018;2:00 a. m.;23.4
1/16/2018;3:00 a. m.;22.8
1/16/2018;4:00 a. m.;19.7
1/16/2018;5:00 a. m.;14.7
1/16/2018;6:00 a. m.;13.9
1/16/2018;7:00 a. m.;17
1/16/2018;8:00 a. m.;26.8
1/16/2018;9:00 a. m.;31.4
1/16/2018;10:00 a. m.;19.1
1/16/2018;11:00 a. m.;20.1
1/16/2018;12:00 p. m.;18.5
1/16/2018;1:00 p. m.;19
1/16/2018;2:00 p. m.;20.4
1/16/2018;3:00 p. m.;23.9
1/16/2018;4:00 p. m.;22.1
1/16/2018;5:00 p. m.;27.7
1/16/2018;6:00 p. m.;33
1/16/2018;7:00 p. m.;29
1/16/2018;8:00 p. m.;26.1
1/16/2018;9:00 p. m.;27.8
1/16/2018;10:00 p. m.;28.1
1/16/2018;11:00 p. m.;25.7
1/16/2018;24:00 AM;23.4
1/17/2018;1:00 a. m.;28.2
1/17/2018;2:00 a. m.;20.5
1/17/2018;3:00 a. m.;14.6
1/17/2018;4:00 a. m.;13.8
1/17/2018;5:00 a. m.;14.3
1/17/2018;6:00 a. m.;11.4
1/17/2018;7:00 a. m.;12.6
1/17/2018;8:00 a. m.;22
1/17/2018;9:00 a. m.;24.9
1/17/2018;10:00 a. m.;23.6
1/17/2018;11:00 a. m.;20.5
1/17/2018;12:00 p. m.;25.1
1/17/2018;1:00 p. m.;19.4
1/17/2018;2:00 p. m.;22.4
1/17/2018;3:00 p. m.;34.7
1/17/2018;4:00 p. m.;29.5
1/17/2018;5:00 p. m.;31.9
1/17/2018;6:00 p. m.;25
1/17/2018;7:00 p. m.;21.1
1/17/2018;8:00 p. m.;12.7
1/17/2018;9:00 p. m.;16.6
1/17/2018;10:00 p. m.;15
1/17/2018;11:00 p. m.;7.2
1/17/2018;24:00 AM;10.5
1/18/2018;1:00 a. m.;16
1/18/2018;2:00 a. m.;13.5
1/18/2018;3:00 a. m.;9.3
1/18/2018;4:00 a. m.;14.4
1/18/2018;5:00 a. m.;15
1/18/2018;6:00 a. m.;8
1/18/2018;7:00 a. m.;11.2
1/18/2018;8:00 a. m.;11.1
1/18/2018;9:00 a. m.;
1/18/2018;10:00 a. m.;27
1/18/2018;11:00 a. m.;24.5
1/18/2018;12:00 p. m.;26
1/18/2018;1:00 p. m.;25.4
1/18/2018;2:00 p. m.;23.4
1/18/2018;3:00 p. m.;15.7
1/18/2018;4:00 p. m.;12.3
1/18/2018;5:00 p. m.;15.2
1/18/2018;6:00 p. m.;21
1/18/2018;7:00 p. m.;22.4
1/18/2018;8:00 p. m.;18.7
1/18/2018;9:00 p. m.;13.3
1/18/2018;10:00 p. m.;17.3
1/18/2018;11:00 p. m.;22
1/18/2018;24:00 AM;18.4
1/19/2018;1:00 a. m.;17.4
1/19/2018;2:00 a. m.;13
1/19/2018;3:00 a. m.;13.9
1/19/2018;4:00 a. m.;27.2
1/19/2018;5:00 a. m.;16.2
1/19/2018;6:00 a. m.;22.8
1/19/2018;7:00 a. m.;21.4
1/19/2018;8:00 a. m.;29.4
1/19/2018;9:00 a. m.;33.5
1/19/2018;10:00 a. m.;25.6
1/19/2018;11:00 a. m.;29.8
1/19/2018;12:00 p. m.;30.3
1/19/2018;1:00 p. m.;30.9
1/19/2018;2:00 p. m.;29.7
1/19/2018;3:00 p. m.;27.2
1/19/2018;4:00 p. m.;32.1
1/19/2018;5:00 p. m.;32.1
1/19/2018;6:00 p. m.;29
1/19/2018;7:00 p. m.;26.5
1/19/2018;8:00 p. m.;23.4
1/19/2018;9:00 p. m.;24.8
1/19/2018;10:00 p. m.;22.8
1/19/2018;11:00 p. m.;27.1
1/19/2018;24:00 AM;30.2
1/20/2018;1:00 a. m.;27.2
1/20/2018;2:00 a. m.;21.6
1/20/2018;3:00 a. m.;24.8
1/20/2018;4:00 a. m.;27.4
1/20/2018;5:00 a. m.;23.3
1/20/2018;6:00 a. m.;24.5
1/20/2018;7:00 a. m.;16
1/20/2018;8:00 a. m.;16.3
1/20/2018;9:00 a. m.;17.1
1/20/2018;10:00 a. m.;22.8
1/20/2018;11:00 a. m.;22.6
1/20/2018;12:00 p. m.;25.2
1/20/2018;1:00 p. m.;27.6
1/20/2018;2:00 p. m.;26.3
1/20/2018;3:00 p. m.;23.2
1/20/2018;4:00 p. m.;24.9
1/20/2018;5:00 p. m.;22.4
1/20/2018;6:00 p. m.;19.3
1/20/2018;7:00 p. m.;18.2
1/20/2018;8:00 p. m.;20.4
1/20/2018;9:00 p. m.;20.5
1/20/2018;10:00 p. m.;14
1/20/2018;11:00 p. m.;13.7
1/20/2018;24:00 AM;9.8
1/21/2018;1:00 a. m.;9.7
1/21/2018;2:00 a. m.;7.2
1/21/2018;3:00 a. m.;7.2
1/21/2018;4:00 a. m.;4.4
1/21/2018;5:00 a. m.;6.7
1/21/2018;6:00 a. m.;7.6
1/21/2018;7:00 a. m.;4.9
1/21/2018;8:00 a. m.;4.7
1/21/2018;9:00 a. m.;6.3
1/21/2018;10:00 a. m.;5.8
1/21/2018;11:00 a. m.;5.8
1/21/2018;12:00 p. m.;5.9
1/21/2018;1:00 p. m.;5.9
1/21/2018;2:00 p. m.;7
1/21/2018;3:00 p. m.;8.3
1/21/2018;4:00 p. m.;9.4
1/21/2018;5:00 p. m.;10.8
1/21/2018;6:00 p. m.;9.9
1/21/2018;7:00 p. m.;12.3
1/21/2018;8:00 p. m.;13
1/21/2018;9:00 p. m.;12.3
1/21/2018;10:00 p. m.;9.5
1/21/2018;11:00 p. m.;9.6
1/21/2018;24:00 AM;8.4
1/22/2018;1:00 a. m.;8.1
1/22/2018;2:00 a. m.;6.7
1/22/2018;3:00 a. m.;8.6
1/22/2018;4:00 a. m.;5.8
1/22/2018;5:00 a. m.;6.8
1/22/2018;6:00 a. m.;8.7
1/22/2018;7:00 a. m.;11.3
1/22/2018;8:00 a. m.;20.1
1/22/2018;9:00 a. m.;25.6
1/22/2018;10:00 a. m.;18.6
1/22/2018;11:00 a. m.;15.7
1/22/2018;12:00 p. m.;8.6
1/22/2018;1:00 p. m.;8.5
1/22/2018;2:00 p. m.;8.2
1/22/2018;3:00 p. m.;8
1/22/2018;4:00 p. m.;10.2
1/22/2018;5:00 p. m.;17
1/22/2018;6:00 p. m.;23.1
1/22/2018;7:00 p. m.;33.3
1/22/2018;8:00 p. m.;32.7
1/22/2018;9:00 p. m.;28.9
1/22/2018;10:00 p. m.;26.6
1/22/2018;11:00 p. m.;29
1/22/2018;24:00 AM;29.2
1/23/2018;1:00 a. m.;18.4
1/23/2018;2:00 a. m.;20.8
1/23/2018;3:00 a. m.;26.4
1/23/2018;4:00 a. m.;21.9
1/23/2018;5:00 a. m.;15.8
1/23/2018;6:00 a. m.;14.1
1/23/2018;7:00 a. m.;15.9
1/23/2018;8:00 a. m.;22.6
1/23/2018;9:00 a. m.;14.8
1/23/2018;10:00 a. m.;19.1
1/23/2018;11:00 a. m.;22.6
1/23/2018;12:00 p. m.;25.2
1/23/2018;1:00 p. m.;29.5
1/23/2018;2:00 p. m.;28.1
1/23/2018;3:00 p. m.;20.6
1/23/2018;4:00 p. m.;27.9
1/23/2018;5:00 p. m.;30
1/23/2018;6:00 p. m.;30.2
1/23/2018;7:00 p. m.;27.7
1/23/2018;8:00 p. m.;26.5
1/23/2018;9:00 p. m.;23.5
1/23/2018;10:00 p. m.;17.1
1/23/2018;11:00 p. m.;16.5
1/23/2018;24:00 AM;17.6
1/24/2018;1:00 a. m.;19.3
1/24/2018;2:00 a. m.;21.9
1/24/2018;3:00 a. m.;20.9
1/24/2018;4:00 a. m.;12
1/24/2018;5:00 a. m.;9.6
1/24/2018;6:00 a. m.;21.2
1/24/2018;7:00 a. m.;19.5
1/24/2018;8:00 a. m.;27.6
1/24/2018;9:00 a. m.;31.1
1/24/2018;10:00 a. m.;32.2
1/24/2018;11:00 a. m.;34.3
1/24/2018;12:00 p. m.;32.5
1/24/2018;1:00 p. m.;28
1/24/2018;2:00 p. m.;29.2
1/24/2018;3:00 p. m.;29.6
1/24/2018;4:00 p. m.;31.4
1/24/2018;5:00 p. m.;31
1/24/2018;6:00 p. m.;31
1/24/2018;7:00 p. m.;26.4
1/24/2018;8:00 p. m.;18.5
1/24/2018;9:00 p. m.;15.5
1/24/2018;10:00 p. m.;23.1
1/24/2018;11:00 p. m.;17.9
1/24/2018;24:00 AM;13.6
1/25/2018;1:00 a. m.;11.6
1/25/2018;2:00 a. m.;17.7
1/25/2018;3:00 a. m.;19.4
1/25/2018;4:00 a. m.;21.4
1/25/2018;5:00 a. m.;19.2
1/25/2018;6:00 a. m.;15.1
1/25/2018;7:00 a. m.;18.5
1/25/2018;8:00 a. m.;24.8
1/25/2018;9:00 a. m.;25.8
1/25/2018;10:00 a. m.;25.2
1/25/2018;11:00 a. m.;28.2
1/25/2018;12:00 p. m.;24.4
1/25/2018;1:00 p. m.;18.2
1/25/2018;2:00 p. m.;26.2
1/25/2018;3:00 p. m.;19.8
1/25/2018;4:00 p. m.;26
1/25/2018;5:00 p. m.;28.5
1/25/2018;6:00 p. m.;23.9
1/25/2018;7:00 p. m.;22.8
1/25/2018;8:00 p. m.;23
1/25/2018;9:00 p. m.;23.2
1/25/2018;10:00 p. m.;23.9
1/25/2018;11:00 p. m.;17.4
1/25/2018;24:00 AM;20.2
1/26/2018;1:00 a. m.;22.1
1/26/2018;2:00 a. m.;20.3
1/26/2018;3:00 a. m.;22.3
1/26/2018;4:00 a. m.;19.1
1/26/2018;5:00 a. m.;29.7
1/26/2018;6:00 a. m.;29.7
1/26/2018;7:00 a. m.;18
1/26/2018;8:00 a. m.;20.9
1/26/2018;9:00 a. m.;33.5
1/26/2018;10:00 a. m.;21
1/26/2018;11:00 a. m.;14.4
1/26/2018;12:00 p. m.;14.9
1/26/2018;1:00 p. m.;11.6
1/26/2018;2:00 p. m.;7.9
1/26/2018;3:00 p. m.;10
1/26/2018;4:00 p. m.;12
1/26/2018;5:00 p. m.;21.5
1/26/2018;6:00 p. m.;29.7
1/26/2018;7:00 p. m.;25.2
1/26/2018;8:00 p. m.;28.1
1/26/2018;9:00 p. m.;25
1/26/2018;10:00 p. m.;22.4
1/26/2018;11:00 p. m.;19.2
1/26/2018;24:00 AM;22.7
1/27/2018;1:00 a. m.;16.6
1/27/2018;2:00 a. m.;18
1/27/2018;3:00 a. m.;15.9
1/27/2018;4:00 a. m.;10.4
1/27/2018;5:00 a. m.;9
1/27/2018;6:00 a. m.;16.3
1/27/2018;7:00 a. m.;20.5
1/27/2018;8:00 a. m.;17.8
1/27/2018;9:00 a. m.;24.3
1/27/2018;10:00 a. m.;24.8
1/27/2018;11:00 a. m.;21.8
1/27/2018;12:00 p. m.;22.8
1/27/2018;1:00 p. m.;13
1/27/2018;2:00 p. m.;10.4
1/27/2018;3:00 p. m.;8.8
1/27/2018;4:00 p. m.;10.6
1/27/2018;5:00 p. m.;10.7
1/27/2018;6:00 p. m.;14.9
1/27/2018;7:00 p. m.;12.8
1/27/2018;8:00 p. m.;23.1
1/27/2018;9:00 p. m.;27.1
1/27/2018;10:00 p. m.;26.1
1/27/2018;11:00 p. m.;23.1
1/27/2018;24:00 AM;22.2
1/28/2018;1:00 a. m.;22.6
1/28/2018;2:00 a. m.;17.9
1/28/2018;3:00 a. m.;20.6
1/28/2018;4:00 a. m.;21.6
1/28/2018;5:00 a. m.;21.2
1/28/2018;6:00 a. m.;24.3
1/28/2018;7:00 a. m.;17.8
1/28/2018;8:00 a. m.;16.4
1/28/2018;9:00 a. m.;24.4
1/28/2018;10:00 a. m.;21.9
1/28/2018;11:00 a. m.;25.9
1/28/2018;12:00 p. m.;25.2
1/28/2018;1:00 p. m.;18.1
1/28/2018;2:00 p. m.;17.7
1/28/2018;3:00 p. m.;21.7
1/28/2018;4:00 p. m.;20.6
1/28/2018;5:00 p. m.;24
1/28/2018;6:00 p. m.;20
1/28/2018;7:00 p. m.;21.1
1/28/2018;8:00 p. m.;22.4
1/28/2018;9:00 p. m.;24.8
1/28/2018;10:00 p. m.;23.6
1/28/2018;11:00 p. m.;22.1
1/28/2018;24:00 AM;22.4
1/29/2018;1:00 a. m.;20.7
1/29/2018;2:00 a. m.;20.8
1/29/2018;3:00 a. m.;18.8
1/29/2018;4:00 a. m.;24.4
1/29/2018;5:00 a. m.;15
1/29/2018;6:00 a. m.;9.9
1/29/2018;7:00 a. m.;12.5
1/29/2018;8:00 a. m.;20.2
1/29/2018;9:00 a. m.;26.4
1/29/2018;10:00 a. m.;22.2
1/29/2018;11:00 a. m.;18.5
1/29/2018;12:00 p. m.;19
1/29/2018;1:00 p. m.;19
1/29/2018;2:00 p. m.;18.3
1/29/2018;3:00 p. m.;19.6
1/29/2018;4:00 p. m.;15.1
1/29/2018;5:00 p. m.;16.1
1/29/2018;6:00 p. m.;12.6
1/29/2018;7:00 p. m.;11.2
1/29/2018;8:00 p. m.;13
1/29/2018;9:00 p. m.;15.8
1/29/2018;10:00 p. m.;14.3
1/29/2018;11:00 p. m.;24.5
1/29/2018;24:00 AM;30.7
1/30/2018;1:00 a. m.;33.3
1/30/2018;2:00 a. m.;33.7
1/30/2018;3:00 a. m.;31.3
1/30/2018;4:00 a. m.;25.7
1/30/2018;5:00 a. m.;6.7
1/30/2018;6:00 a. m.;10.6
1/30/2018;7:00 a. m.;31.4
1/30/2018;8:00 a. m.;23.7
1/30/2018;9:00 a. m.;19.1
1/30/2018;10:00 a. m.;12.6
